level,name,path,branchId,href
"4","Instrument panel & Glove compartment","Body, car glass > Passenger and luggage compartments > Dashboard > Instrument panel & Glove compartment","MPCfm7BNaVB3bjVxQU1EQXo4Si1hZ1RVMU16QTJOVU3wn5CTMTAwNA","#/schemas?catalogId=toyota&carId=e7d85f26096e62e1043384648ec63342&criteria=62%2aJTMDF9EV5DD037942%21c16f6b53%24540W%7DZ07%5E4%3CFA40%3E1F7&q=JTMDF9EV5DD037942&branchId=MPCfm7BNaVB3bjVxQU1EQXo4Si1hZ1RVMU16QTJOVU3wn5CTMTAwNA"
"3","Interior, decorative and lining parts for passenger and luggage compartments","Body, car glass > Passenger and luggage compartments > Interior, decorative and lining parts for passenger and luggage compartments","989","#/schemas?catalogId=toyota&carId=e7d85f26096e62e1043384648ec63342&criteria=62%2aJTMDF9EV5DD037942%21c16f6b53%24540W%7DZ07%5E4%3CFA40%3E1F7&q=JTMDF9EV5DD037942&branchId=989"
"4","Instrument panel & Glove compartment","Body, car glass > Passenger and luggage compartments > Interior, decorative and lining parts for passenger and luggage compartments > Instrument panel & Glove compartment","MPCfm7BNaVB3bjVxQU1EQXo4Si1hZ1RVMU16QTJOVU3wn5CTOTg5","#/schemas?catalogId=toyota&carId=e7d85f26096e62e1043384648ec63342&criteria=62%2aJTMDF9EV5DD037942%21c16f6b53%24540W%7DZ07%5E4%3CFA40%3E1F7&q=JTMDF9EV5DD037942&branchId=MPCfm7BNaVB3bjVxQU1EQXo4Si1hZ1RVMU16QTJOVU3wn5CTOTg5"
"4","Seat & Seat track","Body, car glass > Passenger and luggage compartments > Interior, decorative and lining parts for passenger and luggage compartments > Seat & Seat track","MPCfm7BNaVB3bjVxQU1EQXo4Si1hZ1RjeFF6Y3dOaUHwn5CTOTg5","#/schemas?catalogId=toyota&carId=e7d85f26096e62e1043384648ec63342&criteria=62%2aJTMDF9EV5DD037942%21c16f6b53%24540W%7DZ07%5E4%3CFA40%3E1F7&q=JTMDF9EV5DD037942&branchId=MPCfm7BNaVB3bjVxQU1EQXo4Si1hZ1RjeFF6Y3dOaUHwn5CTOTg5"
"3","Seats","Body, car glass > Passenger and luggage compartments > Seats","984","#/schemas?catalogId=toyota&carId=e7d85f26096e62e1043384648ec63342&criteria=62%2aJTMDF9EV5DD037942%21c16f6b53%24540W%7DZ07%5E4%3CFA40%3E1F7&q=JTMDF9EV5DD037942&branchId=984"
"4","Seat & Seat track","Body, car glass > Passenger and luggage compartments > Seats > Seat & Seat track","MPCfm7BNaVB3bjVxQU1EQXo4Si1hZ1RjeFF6Y3dOaUHwn5CTOTg0","#/schemas?catalogId=toyota&carId=e7d85f26096e62e1043384648ec63342&criteria=62%2aJTMDF9EV5DD037942%21c16f6b53%24540W%7DZ07%5E4%3CFA40%3E1F7&q=JTMDF9EV5DD037942&branchId=MPCfm7BNaVB3bjVxQU1EQXo4Si1hZ1RjeFF6Y3dOaUHwn5CTOTg0"
"2","Safety system","Body, car glass > Safety system","1075","#/schemas?catalogId=toyota&carId=e7d85f26096e62e1043384648ec63342&criteria=62%2aJTMDF9EV5DD037942%21c16f6b53%24540W%7DZ07%5E4%3CFA40%3E1F7&q=JTMDF9EV5DD037942&branchId=1075"
"3","Instrument panel & Glove compartment","Body, car glass > Safety system > Instrument panel & Glove compartment","MPCfm7BNaVB3bjVxQU1EQXo4Si1hZ1RVMU16QTJOVU3wn5CTMTA3NQ","#/schemas?catalogId=toyota&carId=e7d85f26096e62e1043384648ec63342&criteria=62%2aJTMDF9EV5DD037942%21c16f6b53%24540W%7DZ07%5E4%3CFA40%3E1F7&q=JTMDF9EV5DD037942&branchId=MPCfm7BNaVB3bjVxQU1EQXo4Si1hZ1RVMU16QTJOVU3wn5CTMTA3NQ"
"2","Body frame, frame, roof, bottom, side panels","Body, car glass > Body frame, frame, roof, bottom, side panels","814","#/schemas?catalogId=toyota&carId=e7d85f26096e62e1043384648ec63342&criteria=62%2aJTMDF9EV5DD037942%21c16f6b53%24540W%7DZ07%5E4%3CFA40%3E1F7&q=JTMDF9EV5DD037942&branchId=814"
"3","Roof, sunroof","Body, car glass > Body frame, frame, roof, bottom, side panels > Roof, sunroof","1015","#/schemas?catalogId=toyota&carId=e7d85f26096e62e1043384648ec63342&criteria=62%2aJTMDF9EV5DD037942%21c16f6b53%24540W%7DZ07%5E4%3CFA40%3E1F7&q=JTMDF9EV5DD037942&branchId=1015"
