id,parent_id,level,name,path,branchId,href
134,129.0,3,"Automatic transmission gear, clutch, sprocket","Transmission, gearbox > A/T, components > Automatic transmission gear, clutch, sprocket",1063,#/schemas?catalogId=toyota&carId=e7d85f26096e62e1043384648ec63342&criteria=62%2aJTMDF9EV5DD037942%21c16f6b53%24540W%7DZ07%5E4%3CFA40%3E1F7&q=JTMDF9EV5DD037942&branchId=1063
135,127.0,2,"M/T, components","Transmission, gearbox > M/T, components",954,#/schemas?catalogId=toyota&carId=e7d85f26096e62e1043384648ec63342&criteria=62%2aJTMDF9EV5DD037942%21c16f6b53%24540W%7DZ07%5E4%3CFA40%3E1F7&q=JTMDF9EV5DD037942&branchId=954
136,135.0,3,"Manual transmission: bearing, slide bushing","Transmission, gearbox > M/T, components > Manual transmission: bearing, slide bushing",973,#/schemas?catalogId=toyota&carId=e7d85f26096e62e1043384648ec63342&criteria=62%2aJTMDF9EV5DD037942%21c16f6b53%24540W%7DZ07%5E4%3CFA40%3E1F7&q=JTMDF9EV5DD037942&branchId=973
137,135.0,3,"Manual transmission: gear, clutch, sprocket","Transmission, gearbox > M/T, components > Manual transmission: gear, clutch, sprocket",972,#/schemas?catalogId=toyota&carId=e7d85f26096e62e1043384648ec63342&criteria=62%2aJTMDF9EV5DD037942%21c16f6b53%24540W%7DZ07%5E4%3CFA40%3E1F7&q=JTMDF9EV5DD037942&branchId=972
138,127.0,2,Transfer box: components,"Transmission, gearbox > Transfer box: components",1291,#/schemas?catalogId=toyota&carId=e7d85f26096e62e1043384648ec63342&criteria=62%2aJTMDF9EV5DD037942%21c16f6b53%24540W%7DZ07%5E4%3CFA40%3E1F7&q=JTMDF9EV5DD037942&branchId=1291
139,127.0,2,Differential,"Transmission, gearbox > Differential",955,#/schemas?catalogId=toyota&carId=e7d85f26096e62e1043384648ec63342&criteria=62%2aJTMDF9EV5DD037942%21c16f6b53%24540W%7DZ07%5E4%3CFA40%3E1F7&q=JTMDF9EV5DD037942&branchId=955
140,127.0,2,Transmission mounts,"Transmission, gearbox > Transmission mounts",681,#/schemas?catalogId=toyota&carId=e7d85f26096e62e1043384648ec63342&criteria=62%2aJTMDF9EV5DD037942%21c16f6b53%24540W%7DZ07%5E4%3CFA40%3E1F7&q=JTMDF9EV5DD037942&branchId=681
141,127.0,2,Gear shift mechanism,"Transmission, gearbox > Gear shift mechanism",702,#/schemas?catalogId=toyota&carId=e7d85f26096e62e1043384648ec63342&criteria=62%2aJTMDF9EV5DD037942%21c16f6b53%24540W%7DZ07%5E4%3CFA40%3E1F7&q=JTMDF9EV5DD037942&branchId=702
142,127.0,2,"Transmission gaskets, seals, glands","Transmission, gearbox > Transmission gaskets, seals, glands",715,#/schemas?catalogId=toyota&carId=e7d85f26096e62e1043384648ec63342&criteria=62%2aJTMDF9EV5DD037942%21c16f6b53%24540W%7DZ07%5E4%3CFA40%3E1F7&q=JTMDF9EV5DD037942&branchId=715
143,142.0,3,"Torque converter, front oil pump & Chain (atm)","Transmission, gearbox > Transmission gaskets, seals, glands > Torque converter, front oil pump & Chain (atm)",MPCfm7BNaVB3bjVxQU1EQXk4Si1hZ1RNMU9EYzBOVUXwn5CTNzE1,#/schemas?catalogId=toyota&carId=e7d85f26096e62e1043384648ec63342&criteria=62%2aJTMDF9EV5DD037942%21c16f6b53%24540W%7DZ07%5E4%3CFA40%3E1F7&q=JTMDF9EV5DD037942&branchId=MPCfm7BNaVB3bjVxQU1EQXk4Si1hZ1RNMU9EYzBOVUXwn5CTNzE1
144,127.0,2,Transmission repair kits,"Transmission, gearbox > Transmission repair kits",1058,#/schemas?catalogId=toyota&carId=e7d85f26096e62e1043384648ec63342&criteria=62%2aJTMDF9EV5DD037942%21c16f6b53%24540W%7DZ07%5E4%3CFA40%3E1F7&q=JTMDF9EV5DD037942&branchId=1058
145,127.0,2,Clutch system,"Transmission, gearbox > Clutch system",617,#/schemas?catalogId=toyota&carId=e7d85f26096e62e1043384648ec63342&criteria=62%2aJTMDF9EV5DD037942%21c16f6b53%24540W%7DZ07%5E4%3CFA40%3E1F7&q=JTMDF9EV5DD037942&branchId=617
146,127.0,2,Transmission lubrication system,"Transmission, gearbox > Transmission lubrication system",739,#/schemas?catalogId=toyota&carId=e7d85f26096e62e1043384648ec63342&criteria=62%2aJTMDF9EV5DD037942%21c16f6b53%24540W%7DZ07%5E4%3CFA40%3E1F7&q=JTMDF9EV5DD037942&branchId=739
147,146.0,3,Transmission oil pump,"Transmission, gearbox > Transmission lubrication system > Transmission oil pump",740,#/schemas?catalogId=toyota&carId=e7d85f26096e62e1043384648ec63342&criteria=62%2aJTMDF9EV5DD037942%21c16f6b53%24540W%7DZ07%5E4%3CFA40%3E1F7&q=JTMDF9EV5DD037942&branchId=740
148,146.0,3,Transmission oil radiator,"Transmission, gearbox > Transmission lubrication system > Transmission oil radiator",1065,#/schemas?catalogId=toyota&carId=e7d85f26096e62e1043384648ec63342&criteria=62%2aJTMDF9EV5DD037942%21c16f6b53%24540W%7DZ07%5E4%3CFA40%3E1F7&q=JTMDF9EV5DD037942&branchId=1065
149,146.0,3,Oil tube,"Transmission, gearbox > Transmission lubrication system > Oil tube",1066,#/schemas?catalogId=toyota&carId=e7d85f26096e62e1043384648ec63342&criteria=62%2aJTMDF9EV5DD037942%21c16f6b53%24540W%7DZ07%5E4%3CFA40%3E1F7&q=JTMDF9EV5DD037942&branchId=1066
150,146.0,3,Transmission oil filter,"Transmission, gearbox > Transmission lubrication system > Transmission oil filter",741,#/schemas?catalogId=toyota&carId=e7d85f26096e62e1043384648ec63342&criteria=62%2aJTMDF9EV5DD037942%21c16f6b53%24540W%7DZ07%5E4%3CFA40%3E1F7&q=JTMDF9EV5DD037942&branchId=741
151,127.0,2,Cardan shaft,"Transmission, gearbox > Cardan shaft",1290,#/schemas?catalogId=toyota&carId=e7d85f26096e62e1043384648ec63342&criteria=62%2aJTMDF9EV5DD037942%21c16f6b53%24540W%7DZ07%5E4%3CFA40%3E1F7&q=JTMDF9EV5DD037942&branchId=1290
152,127.0,2,Wheel drive,"Transmission, gearbox > Wheel drive",911,#/schemas?catalogId=toyota&carId=e7d85f26096e62e1043384648ec63342&criteria=62%2aJTMDF9EV5DD037942%21c16f6b53%24540W%7DZ07%5E4%3CFA40%3E1F7&q=JTMDF9EV5DD037942&branchId=911
